UNIT_ID,UNIT_NAME,ITEM_ID,ITEM_NAME,CATEGORY_NAME,BRAND_NAME,BALANCE
72,FLOUR MILLS,9000046431,BEARING;21317 E,BEARING,SKF,2
72,FLOUR MILLS,9000046548,BEARING;22208 E,BEARING,SKF,2
72,FLOUR MILLS,9000046612,BEARING;22308 E,BEARING,SKF,4
19,VISION LAHORE,9000137419,BIT;SOLDER;IRON;60 W,TOOLS,GOOT,1
6,KIMS,9000045839,BEARING;626,BEARING,NTN,3
19,VISION LAHORE,9000045472,BEARING;6008-2RS1/C3,BEARING,SKF,6
3,USMAN TRADE LINKERS,9000116937,CAPACITOR;2.5-UF,ELECTRICAL,AMBER,9
9,HINA PACKAGES MULTAN,9000150939,CORD;PATCH;SINGLE;3 MTR;LC TO SC,COMPUTER/ I.T ACCESSORIES,,5
40,SMF INDUSTRIES LTD,9000049703,BEARING;62206-2RS1,BEARING,SKF,3
6,KIMS,9000087403,REGISTER;A4;#30,STATIONARY,HERO,23
19,VISION LAHORE,9000127591,NIPPLE;GREASE;10MM;45-DEG,MECHANICAL,,26
24,EXPERT ADVERTISING LAHORE,9000093825,SOCKET;INDUSTRIAL;5 PIN;16A,ELECTRICAL,CEE,5
72,FLOUR MILLS,9000150771,JOINT CLAMP CABLE TRAY G.I 6MMX15MM,ELECTRICAL,,653
28,VISION HATTAR ( INDUS ),9000131973,BOND;LARGE 50GM,GENERAL,GMSA,6
72,FLOUR MILLS,9000119011,SWITCH;POE 24 PORT;WS-C3750G-24PS-S;4 SFP SLOTS,COMPUTER/ I.T ACCESSORIES,CISCO,42
19,VISION LAHORE,9000151634,SAFETY;DISK;L1801760,KBA PARTS,KBA,6
72,FLOUR MILLS,9000054071,WASHER;PLAIN;S.S;12MM,MECHANICAL,GENERAL ITEMS,100
4,SMF INDUSTRIES LTD # 02,9000085120,SENSOR;PROXIMITY;NBB8-18GM50,ELECTRICAL,PEPPERL+FUCHS,5
24,EXPERT ADVERTISING LAHORE,9000082400,LIGHT;CEILING;7W,ELECTRICAL,PHILIPS,9
28,VISION HATTAR ( INDUS ),9000067870,BRUSH;TOILET;ROUND,GENERAL,,2
3,USMAN TRADE LINKERS,9000145099,BEARING;6800-ZZ,BEARING,CHINA,14
9,HINA PACKAGES MULTAN,9000150659,"HANDLE;M.S;7""",TOOLS,,1
9,HINA PACKAGES MULTAN,9000139736,BELT;TIMING;14M 1092X40MM,BELT,,3
60,GIBS FOOD PRODUCTS,9000050750,MAGNETIC CONTACTOR;LC1D18M7,ELECTRICAL,SCHNEIDER,5
24,EXPERT ADVERTISING LAHORE,9000051639,"FAN;EXHAUST;METAL;24""",ELECTRICAL,PAK FAN,1
24,EXPERT ADVERTISING LAHORE,9000109375,ARMATURE;PL-500;27005231,BOBST PARTS,BAUMER,3
40,SMF INDUSTRIES LTD,9000052931,BOLT;L KEY;S.S;8MMX150MM,MECHANICAL,GENERAL ITEMS,10
40,SMF INDUSTRIES LTD,9000020301,BELT;TIMING;L 390 X 25MM,BELT,GENERAL ITEMS,2
72,FLOUR MILLS,9000050098,CIRCUIT BREAKER;MCB;10 AMP SP,ELECTRICAL,SIEMENS,12
72,FLOUR MILLS,9000050109,CIRCUIT BREAKER;MCB;16 AMP SP,ELECTRICAL,SIEMENS,12
72,FLOUR MILLS,9000050111,CIRCUIT BREAKER;MCB;16 AMP 3P,ELECTRICAL,SIEMENS,6
60,GIBS FOOD PRODUCTS,9000025519,CLIP BOARD,STATIONARY,GENERAL ITEMS,7
60,GIBS FOOD PRODUCTS,9000152148,UNIFORM;CHOCOLATE;BROWN MALE (L),SAFETY EQUIPMENT,GENERAL ITEMS,61
60,GIBS FOOD PRODUCTS,9000047113,BEARING;6001-2Z,BEARING,SKF,12
60,GIBS FOOD PRODUCTS,9000133570,BAR;M.S;ROUND;10MM,MECHANICAL,,10
60,GIBS FOOD PRODUCTS,9000057609,RELAY;24V DC 8 PIN;FLAT,ELECTRICAL,FINDER,5
28,VISION HATTAR ( INDUS ),9000129984,ELBOW;PPRC;32MM,BUILDING MATERIAL (E&M),POPULAR,4
28,VISION HATTAR ( INDUS ),9000140289,CLAMP;S.S;73MM;O-TYPE;G-304,MECHANICAL,,6
4,SMF INDUSTRIES LTD # 02,9000022848,LINK GRIPPER,MECHANICAL,GENERAL ITEMS,28
60,GIBS FOOD PRODUCTS,9000055683,EAR PLUG,SAFETY EQUIPMENT,GENERAL ITEMS,121
60,GIBS FOOD PRODUCTS,9000055804,GREASE;LGHP 2/1,OIL & LUBRICANTS,SKF,2
60,GIBS FOOD PRODUCTS,9000055828,WASTE BIN;PLASTIC;MEDIUM,GENERAL,GENERAL ITEMS,4
60,GIBS FOOD PRODUCTS,9000063962,BELT;PLAIN;B 73,BELT,DONGAL,6
60,GIBS FOOD PRODUCTS,9000147890,HELMET;CHAIN;STRAP,SAFETY EQUIPMENT,,20
8,WATER VILLAGE,9000062941,CIRCUIT BREAKER;MCCB;250 AMP 3P,ELECTRICAL,SCHNEIDER,1
1,GIBS,9000128233,RELAY;OVERLOAD;5-70AMP EOCR-SS,ELECTRICAL,SCHNEIDER,7
4,SMF INDUSTRIES LTD # 02,9000153361,DIMMER;FAN,ELECTRICAL,,14
4,SMF INDUSTRIES LTD # 02,9000154477,OIL SEAL;40X52X10,BEARING,IMPORTED,4
28,VISION HATTAR ( INDUS ),9000151243,DRIVER;LED;54 W,ELECTRICAL,CHINA,18
19,VISION LAHORE,9000152741,TRAPEZOID;NUT;BSA1005011300,BOBST PARTS,LOCAL,26
19,VISION LAHORE,9000153198,COVER;001080854,IBERICA PARTS,LOCAL,4
40,SMF INDUSTRIES LTD,9000154726,CHAIN;PVC;4009-85MM,MECHANICAL,TRIVI,20
40,SMF INDUSTRIES LTD,9000154688,FOOT PAD;VIRATIONAL;F200,MECHANICAL,SYLOMER,4
19,VISION LAHORE,9000154119,FAN;DUCT;3000CFM,ELECTRICAL,,1
9,HINA PACKAGES MULTAN,9000048390,BEARING;6311-2RS1,BEARING,SKF,3
60,GIBS FOOD PRODUCTS,9000115258,"VALVE;BALL;S.S;1-1/4""",MECHANICAL,KTZ,14
4,SMF INDUSTRIES LTD # 02,9000143966,UNIFORM;LABOUR;TWILL GRAY;SMALL,SAFETY EQUIPMENT,,54
19,VISION LAHORE,9000149114,"CLAMP;JUBILEE;S.S;2""",MECHANICAL,,12
1,GIBS,9000153821,BELT;PLAIN;C 162,BELT,DONGAL,6
4,SMF INDUSTRIES LTD # 02,9000022805,VEGETABLE CUTTER,GENERAL,GENERAL ITEMS,6
9,HINA PACKAGES MULTAN,9000148425,RING SLOTTING;180X273X10MM;D2;FLEXO 402,MECHANICAL,,74
9,HINA PACKAGES MULTAN,9000081435,CABLE;BRAKE;LIFTER,MECHANICAL,,2
19,VISION LAHORE,9000054826,BOLT;RAWAL;M.S;12MM,MECHANICAL,CHINA,16
72,FLOUR MILLS,9000154660,FACE PLATE SINGLE SHUTTER,COMPUTER/ I.T ACCESSORIES,,88
8,WATER VILLAGE,9000050640,"JUNCTION BOX;2 WAY;PVC;1""",ELECTRICAL,POPULAR,39
6,KIMS,9000081839,SHAFT;M.S;20MM,MECHANICAL,,29.6
60,GIBS FOOD PRODUCTS,9000142104,SHEET;POLYTHENE;WHITE ROLL;PURE,GENERAL,GENERAL,233
4,SMF INDUSTRIES LTD # 02,9000141338,METER;VOLT;DIGITAL;PM-V94,ELECTRICAL,INTER,1
60,GIBS FOOD PRODUCTS,9000137555,GEAR;SPROCKET;TAFLON;OD-100MM X ID-32MM;W-45MM,MECHANICAL,,10
72,FLOUR MILLS,9000154765,"BEND;PVC;1""",MECHANICAL,JEDDAH,11
8,WATER VILLAGE,9000155225,TAG FOOD CONTACT H/P,STATIONARY,,500
60,GIBS FOOD PRODUCTS,9000085128,"SCREW;WOODEN;6#X1-1/2""",BUILDING MATERIAL (E&M),ADAM JEE,4
6,KIMS,9000063723,BELT;PLAIN;A 80,BELT,DONGAL,4
8,WATER VILLAGE,9000063936,BELT;PLAIN;B 47,BELT,DONGAL,4
72,FLOUR MILLS,9000087052,TEA BAG;GREEN TEA;30X1.5GM,GENERAL,TAPAL,1
28,VISION HATTAR ( INDUS ),9000085970,SOLDERING;IRON;60 W,TOOLS,GOOT,1
61,WATER PARK ( MANSOOR SNACKS),9000055987,CALCEE;SACHET,MEDICINE,GENERAL ITEMS,20
61,WATER PARK ( MANSOOR SNACKS),9000055995,DICLORAN;TAB,MEDICINE,GENERAL ITEMS,125
40,SMF INDUSTRIES LTD,9000153342,"CARBON;GRINDER 4""",ELECTRICAL,,13
61,WATER PARK ( MANSOOR SNACKS),9000070034,CIPROFLOXACIN;EYE DROP,MEDICINE,,10
6,KIMS,9000092484,OIL;SILICON;100 ML,LAB ACCESSORIES,,4
9,HINA PACKAGES MULTAN,9000155033,SHIRT;MEC;RYL BLUE;WINTER; XL,SAFETY EQUIPMENT,,23
3,USMAN TRADE LINKERS,9000089166,"BLADE;FAN;12 WINGS;SILVER;5""",ELECTRICAL,,6
60,GIBS FOOD PRODUCTS,9000049744,BEARING;6312-2Z/C3GJN,BEARING,SKF,4
8,WATER VILLAGE,9000063962,BELT;PLAIN;B 73,BELT,DONGAL,6
9,HINA PACKAGES MULTAN,9000053844,BOLT;L KEY;M.S;5MMX15MM,MECHANICAL,GENERAL ITEMS,33
72,FLOUR MILLS,9000068124,PANAFLEX,GENERAL,,10
40,SMF INDUSTRIES LTD,9000157903,SEAL;TRI CLAMP;38MM,MECHANICAL,,12
4,SMF INDUSTRIES LTD # 02,9000050510,MODULE;FBS 4DA,ELECTRICAL,FATEK,2
28,VISION HATTAR ( INDUS ),9000051138,"PIPE;PVC;3/4""",ELECTRICAL,POPULAR,50
6,KIMS,9000066930,L KEY;PANA;M.S;12MM,TOOLS,JAPAN,1
28,VISION HATTAR ( INDUS ),9000084708,ADAPTER;AC;9V 300MA,ELECTRICAL,,1
28,VISION HATTAR ( INDUS ),9000055359,PLATE;PRESSURE,AUTO PARTS,GENERAL ITEMS,1
9,HINA PACKAGES MULTAN,9000073843,"PIPE;STEAM;S.S;21""X1""",MECHANICAL,,10
72,FLOUR MILLS,9000158354,PERFORATED SHEET M.S HOLES DIA=8MM,MECHANICAL,IMPORTED,2
72,FLOUR MILLS,9000094146,"ANGLE;PROTRACTOR;24""",TOOLS,,1
4,SMF INDUSTRIES LTD # 02,9000021636,SELECTOR SWITCH (22MM-25MM),ELECTRICAL,GENERAL ITEMS,19
72,FLOUR MILLS,9000158910,GLAND CABLE PVC M25,ELECTRICAL,,155
40,SMF INDUSTRIES LTD,9000054192,BOLT;G.I;10MMX75MM,MECHANICAL,GENERAL ITEMS,20
72,FLOUR MILLS,9000051583,"GLAND;CABLE;S.S;3/4""",ELECTRICAL,GENERAL ITEMS,29
72,FLOUR MILLS,9000159262,PANEL KEY M.S LARGE,ELECTRICAL,IMPORTED,26
73,PREMIER TECH PACKAGES,9000071636,PAD;CASH RECEIVING VOUCHER C.R,STATIONARY,,1
73,PREMIER TECH PACKAGES,9000055570,INK;MARKER,STATIONARY,GENERAL ITEMS,2
73,PREMIER TECH PACKAGES,9000024454,EMERY PAPER,MECHANICAL,GENERAL ITEMS,5
73,PREMIER TECH PACKAGES,9000062926,CIRCUIT BREAKER;MCB;16 AMP 2P,ELECTRICAL,SCHNEIDER,1
73,PREMIER TECH PACKAGES,9000053922,BOLT;L KEY;S.S;5MMX15MM,MECHANICAL,GENERAL ITEMS,25
72,FLOUR MILLS,9000114984,ISOLATOR;SWITCH;63 AMP,ELECTRICAL,,2
24,EXPERT ADVERTISING LAHORE,9000159283,CAMERA;DS-2CD3151GO-ISF,COMPUTER/ I.T ACCESSORIES,HIK VISION,2
72,FLOUR MILLS,9000066014,BEAKER;PLASTIC;1000-ML,LAB ACCESSORIES,GENERAL ITEMS,7
4,SMF INDUSTRIES LTD # 02,9000084790,GLASS;PLAIN;8MM,BUILDING MATERIAL (E&M),,35
61,WATER PARK ( MANSOOR SNACKS),9000056047,THERMOMETER;GLASS TUBE,MEDICINE,GENERAL ITEMS,5
72,FLOUR MILLS,9000158370,HEAD;BIB COCK;S.S,BUILDING MATERIAL (E&M),FAISAL,12
73,PREMIER TECH PACKAGES,9000132742,CABLE TIE;CV-300S;WHITE,ELECTRICAL,KSS,2
61,WATER PARK ( MANSOOR SNACKS),9000153661,ARTERY CROW MEDIUM,MEDICINE,,1
72,FLOUR MILLS,9000055673,HELMET;WELDING,SAFETY EQUIPMENT,GENERAL ITEMS,1
3,USMAN TRADE LINKERS,9000049566,OIL SEAL;45X72X10,BEARING,SKF,1
72,FLOUR MILLS,9000159673,"AIR PLUG DEAD G.I 1 1/2""",MECHANICAL,,52
4,SMF INDUSTRIES LTD # 02,9000155559,SWITCH;NETWORKING;POE;16 PORT,COMPUTER/ I.T ACCESSORIES,HIK VISION,1
4,SMF INDUSTRIES LTD # 02,9000045630,BEARING;6204-2RSH/C3,BEARING,SKF,1
40,SMF INDUSTRIES LTD,9000159956,SPANNER;RING+RACHET;SET;8-#19,TOOLS,TOTAL,1
40,SMF INDUSTRIES LTD,9000159958,SCREW;DRIVER;SET;FULL ROD,TOOLS,DENFOS,1
40,SMF INDUSTRIES LTD,9000159914,GOTI;S.S;LONG;24MM;6P,TOOLS,CHINA,1
40,SMF INDUSTRIES LTD,9000159939,ROD;TEE;10MM,TOOLS,J TECH,1
40,SMF INDUSTRIES LTD,9000122856,"SCREW DRIVER;(-);3""",TOOLS,CHINA,2
60,GIBS FOOD PRODUCTS,9000104706,SPRAY;ULTRA FAST;375 ML,GENERAL,MORTEIN,2
72,FLOUR MILLS,9000150506,PIN  80667,MECHANICAL,UNION SPECIAL,3
9,HINA PACKAGES MULTAN,9000108259,CHAIR;VISITOR;COLOUR-BLACK,FURNITURE,GALAXY,2
40,SMF INDUSTRIES LTD,9000147899,"SOCKET;M.S;3"";SCH-40",MECHANICAL,,10
72,FLOUR MILLS,9000160139,HEAT SLEEVE YELLOW;TSS380YE,ELECTRICAL,,33
72,FLOUR MILLS,9000157715,SENSOR E2A-M30LS 15-WP-B1;12-24VDC;PNP,ELECTRICAL,OMRON,6
24,EXPERT ADVERTISING LAHORE,9000150587,LIGHT;FLOOD;100W;ENFL-335-100-5770;5700 K,ELECTRICAL,FAST,12
3,USMAN TRADE LINKERS,9000052039,"ELBOW;S.S;3"";G#304",MECHANICAL,GENERAL ITEMS,2
5,N.H FOODS MULTAN,9000091790,SENSOR;P#132616,ELECTRICAL,PEPPERL+FUCHS,1
6,KIMS,9000089412,NUT;G.I;5MM,MECHANICAL,,216
6,KIMS,9000049445,OIL SEAL;30X45X8,BEARING,SKF,23
6,KIMS,9000071584,CAPACITOR;60-UF,ELECTRICAL,FUJI,4
5,N.H FOODS MULTAN,9000085857,ROD;WELDING E6013;M.S;3.2MM;MT-12,MECHANICAL,CHINA,5
5,N.H FOODS MULTAN,9000082893,MARKER;PERMANENT;BLACK,STATIONARY,PIANO,25
4,SMF INDUSTRIES LTD # 02,9000026508,FILTER BAG,MECHANICAL,,4
4,SMF INDUSTRIES LTD # 02,9000091620,"GLASS;WELDING;BLACK;3""X4""",MECHANICAL,,7
4,SMF INDUSTRIES LTD # 02,9000051841,HEATER;CARTRIDGE;12.5X150MM;500 W,ELECTRICAL,GENERAL ITEMS,4
5,N.H FOODS MULTAN,9000029672,TEMP CONTROLLER;TZ4L-14R,ELECTRICAL,AUTONICS,3
5,N.H FOODS MULTAN,9000048136,BEARING;YAR 205-2F,BEARING,SKF,5
1,GIBS,9000050455,PLC;FBS 14MCR2-AC,ELECTRICAL,FATEK,7
6,KIMS,9000023123,COPPER BLOWER,MECHANICAL,GENERAL ITEMS,4
6,KIMS,9000076484,"COUPLING;M.S;5""",MECHANICAL,,9
6,KIMS,9000067956,CABLE;TV;RG-6,ELECTRICAL,ASTREX,2
6,KIMS,9000120457,MOTOR;BACK;COVER;G.I;8.5'',ELECTRICAL,,2
4,SMF INDUSTRIES LTD # 02,9000065742,BELT;TIMING;S8M 560 X 20MM,BELT,GENERAL ITEMS,14
4,SMF INDUSTRIES LTD # 02,9000121760,BELT;TIMING;T10 720X6MM,BELT,,2
4,SMF INDUSTRIES LTD # 02,9000026798,BOOK;REQUISITION(PURCHASE),STATIONARY,,12
9,HINA PACKAGES MULTAN,9000068040,HAND LAMP;PORTABLE,ELECTRICAL,,3
6,KIMS,9000088616,THERMOSTATE;K50;P1127,MECHANICAL,VARIFIX,9
4,SMF INDUSTRIES LTD # 02,9000050052,BEARING;YAR 216-2F,BEARING,SKF,5
4,SMF INDUSTRIES LTD # 02,9000063685,BELT;PLAIN;A 42,BELT,DONGAL,6
6,KIMS,9000121599,MAKEUP;PRINTER;NEXJET;1 LTR,PRINTER,,68
19,VISION LAHORE,9000120573,RING;SNAP;OUTER;12X1MM;BSA871100012,BOBST PARTS,BOBST,2
4,SMF INDUSTRIES LTD # 02,9000049607,BEARING;61800-2Z,BEARING,SKF,7
4,SMF INDUSTRIES LTD # 02,9000049614,BEARING;61803-RS1,BEARING,SKF,9
4,SMF INDUSTRIES LTD # 02,9000049619,BEARING;61806-2RS1,BEARING,SKF,4
4,SMF INDUSTRIES LTD # 02,9000063917,BELT;PLAIN;B 28,BELT,DONGAL,4
4,SMF INDUSTRIES LTD # 02,9000063936,BELT;PLAIN;B 47,BELT,DONGAL,6
28,VISION HATTAR ( INDUS ),9000115642,"VALVE;CHECK;BRASS;1""",MECHANICAL,,8
6,KIMS,9000112659,HEATER;TUBULER;U-TYPE;8MM,ELECTRICAL,,7
6,KIMS,9000021988,HOLE SAW 28MM,ELECTRICAL,GENERAL ITEMS,2
6,KIMS,9000021801,HOLE SAW 35MM,ELECTRICAL,GENERAL ITEMS,2
4,SMF INDUSTRIES LTD # 02,9000106483,BEARING;BRACKET;P004,BEARING,ASHAI,5
8,WATER VILLAGE,9000086222,SWITCH;PIANO,ELECTRICAL,,86
28,VISION HATTAR ( INDUS ),9000116693,VALVE;SOLENOID;3V210-08,ELECTRICAL,AIRTAC,3
28,VISION HATTAR ( INDUS ),9000079616,"VALVE;SOLENOID;BRASS;1""",ELECTRICAL,LOCAL,1
9,HINA PACKAGES MULTAN,9000055217,"DISK;GRINDING;4""",MECHANICAL,LION-UK,12
28,VISION HATTAR ( INDUS ),9000021487,THIMBLE MEDIUM 50MM,ELECTRICAL,GENERAL ITEMS,100
28,VISION HATTAR ( INDUS ),9000021545,PVC FAN TIKKI 8'',ELECTRICAL,GENERAL ITEMS,188
28,VISION HATTAR ( INDUS ),9000058498,MOTOR;15-HP,ELECTRICAL,LOT,1
28,VISION HATTAR ( INDUS ),9000058481,MOTOR;3.7-KW,ELECTRICAL,LOT,2
19,VISION LAHORE,9000031612,PPRC OVER CROSS,BUILDING MATERIAL (E&M),,19
28,VISION HATTAR ( INDUS ),9000055112,"AIR CONN;TEE;PVC;12MMX1/4""",MECHANICAL,FESTO,11
19,VISION LAHORE,9000022728,NEEL;ROBBIN BLUE,GENERAL,GENERAL ITEMS,13
19,VISION LAHORE,9000119759,BRUSH WHEEL,IBERICA PARTS,,8
28,VISION HATTAR ( INDUS ),9000080232,BOLT;G.I;10MMX100MM,MECHANICAL,,33
28,VISION HATTAR ( INDUS ),9000054828,BOLT;RAWAL;M.S;16MM,MECHANICAL,CHINA,16
4,SMF INDUSTRIES LTD # 02,9000102047,"WASHER;SILICON;1""",MECHANICAL,,4
28,VISION HATTAR ( INDUS ),9000084036,OIL;COMPRESSOR;CORENA S3 R 68,OIL & LUBRICANTS,SHELL,144
19,VISION LAHORE,9000069512,BELT;CNVR;PVC;1960 X 25 X 3MM,BELT,,6
19,VISION LAHORE,9000107120,HANDLE 395603092,IBERICA PARTS,IBERICA,8
19,VISION LAHORE,9000067376,HOLE SAW;W/O-TIP;100MM,TOOLS,GENERAL ITEMS,1
19,VISION LAHORE,9000095084,KIT;O RING;B TYPE,MECHANICAL,,1
6,KIMS,9000023704,FILTER;FUEL;FF 5264,MECHANICAL,FLEET GUARD,1
28,VISION HATTAR ( INDUS ),9000064942,CENTER DRILL;CARBIDE;1/2,TOOLS,CHINA,2
28,VISION HATTAR ( INDUS ),9000106729,"CENTER DRILL;HSS;3/4""",TOOLS,CHINA,5
19,VISION LAHORE,9000112517,WASHER;DIN9021;80.90P40-0755,ROLLAND PARTS,MAN ROLAND,2
19,VISION LAHORE,9000079563,"ADAPTER;MALE;PPRC;25X1/2""",BUILDING MATERIAL (E&M),MASTER,6
19,VISION LAHORE,9000083957,FILTER;KIT;2901-2003-04,MECHANICAL,,1
19,VISION LAHORE,9000107504,FILTER;MESH;8508,ROLLAND PARTS,MAN ROLAND,15
19,VISION LAHORE,9000084107,GASKET;80.21F30-0132,ROLLAND PARTS,MAN ROLAND,73
6,KIMS,9000029141,M.S SAFON FOR PRESSURE GUAGE,MECHANICAL,,29
6,KIMS,9000020219,BELT B 93,BELT,GENERAL ITEMS,18
4,SMF INDUSTRIES LTD # 02,9000051783,STARTER;TUBE;S-10,ELECTRICAL,PHILIPS,6
28,VISION HATTAR ( INDUS ),9000051240,"ELBOW;G.I;1""",MECHANICAL,GENERAL ITEMS,22
28,VISION HATTAR ( INDUS ),9000057391,EXTINGUISHER;DCP;6 KG,SAFETY EQUIPMENT,GENERAL ITEMS,8
19,VISION LAHORE,9000112349,SWITCH;PROTECTION MOTOR;2 HP,ELECTRICAL,TECO MOTOR,1
